run_id,customers,subscriptions,selected_customers,affected_customers,tag_transitions,verify,verify_reverse,verify_counts,changed_source_rows,incremental_server_seconds,incremental_profile_count,incremental_job_count,incremental_inputRowCount,incremental_inputBytes,incremental_inputDeltaBytes,incremental_inputDiskBytes,incremental_inputCacheBytes,incremental_outputRowCount,incremental_outputBytes,incremental_spillingBytes,incremental_cpu_wall_seconds,incremental_job_meter_cru,full_server_seconds,full_profile_count,full_job_count,full_inputRowCount,full_inputBytes,full_inputDeltaBytes,full_inputDiskBytes,full_inputCacheBytes,full_outputRowCount,full_outputBytes,full_spillingBytes,full_cpu_wall_seconds,full_job_meter_cru,source_change_server_seconds,source_change_profile_count,source_change_job_count,source_change_inputRowCount,source_change_inputBytes,source_change_inputDeltaBytes,source_change_inputDiskBytes,source_change_inputCacheBytes,source_change_outputRowCount,source_change_outputBytes,source_change_spillingBytes,source_change_cpu_wall_seconds,source_change_job_meter_cru,consumption_server_seconds,consumption_profile_count,consumption_job_count,consumption_inputRowCount,consumption_inputBytes,consumption_inputDeltaBytes,consumption_inputDiskBytes,consumption_inputCacheBytes,consumption_outputRowCount,consumption_outputBytes,consumption_spillingBytes,consumption_cpu_wall_seconds,consumption_job_meter_cru,refresh_modes,last_source_commit_to_tags_seconds,all_statements_ok
measured2_aging,100000,150000,100,6667,1168,0,0,100000,6667,9.157,5,5,92507,234955129,749396,50986454,183968675,60002,665573,9046309,6.5169999999999995,0.00022700000000000002,1.491,1,1,455002,338662826,632291,-632291,339295117,100000,387796,1779318,3.735,0.00013,3.227,3,3,9479,147640772,331821,-331821,147972593,16146,51421445,87776,8.666,0.000301,0.202,1,1,100000,507688,39122,-39122,546810,1,1248,257,0.087,3e-06,subscription_features:INCREMENTAL;billing_features:INCREMENTAL;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,17.882,True
measured2_care_close,100000,150000,100,5,4,0,0,100000,5,3.1180000000000003,5,5,75,102878824,314019,2389967,100488857,40,23821,35235,1.342,4.6e-05,1.539,1,1,455002,287467163,530350,-530350,287997513,100000,387706,1743371,3.898,0.000135,1.397,1,1,5100,17018148,0,0,17018148,10,2660510,2283,0.721,2.5e-05,0.246,1,1,100000,453646,23437,-23437,477083,1,1248,162,0.095,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:INCREMENTAL;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,12.003,True
measured2_catalog_fanout,100000,150000,100,80000,64695,0,0,100000,1,5.269,5,5,971355,268175389,784493,1114221,267061168,760000,5484125,38081493,8.748,0.00030399999999999996,1.299,1,1,455002,355181886,676612,-676612,355858498,100000,374147,1663546,3.708,0.000129,0.254,1,1,1,529898,0,0,529898,2,531304,329,0.082,3e-06,0.249,1,1,100000,443978,0,0,443978,1,1248,79,0.044,2e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:FULL;customer_tags:FULL,14.254,True
measured2_delete_customer,100000,150000,100,100,15,0,0,99900,100,3.452,5,5,705,36516335,146310,5885396,30630939,200,4572,144228,1.753,6e-05,1.662,1,1,454902,355181886,718835,74439934,280741952,99900,372896,1663546,9.182,0.000319,1.419,1,1,100100,112864818,253301,-253301,113118119,100,42223,12651,1.825,6.3e-05,0.247,1,1,99900,443978,2284,-2284,446262,1,1248,79,0.074,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,12.4,True
measured2_delta_01,100000,150000,100,100,167,0,0,100000,251,7.098,5,5,1860,105393953,202617,31838808,73555145,1102,49009,478680,2.714,9.400000000000001e-05,0.658,1,1,455002,152395646,170248,-170248,152565894,100000,387713,1700117,2.635,9.1e-05,3.129,2,2,250200,67652908,85095,-85095,67738003,502,31994631,26810,5.203,0.000181,0.201,1,1,100000,414730,11443,-11443,426173,1,1248,82,0.054,2e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.957,True
measured2_delta_02,100000,150000,100,100,166,0,0,100000,251,5.5200000000000005,5,5,1860,121364179,261476,31772815,89591364,1102,48993,483732,3.1079999999999997,0.000108,1.764,1,1,455002,184305123,255397,-255397,184560520,100000,387726,1717231,2.832,9.8e-05,1.9140000000000001,2,2,250200,99562386,170248,-170248,99732634,502,31994626,25400,5.438,0.00018899999999999999,0.252,1,1,100000,421766,13728,-13728,435494,1,1248,82,0.077,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,13.851,True
measured2_delta_03,100000,150000,100,100,167,0,0,100000,251,6.609,5,5,1860,137334377,320342,31713928,105620449,1102,48949,494843,2.783,9.6e-05,1.423,1,1,455002,216214593,340550,-340550,216555143,100000,387713,1735189,2.907,0.000101,3.2089999999999996,2,2,250200,131471863,255397,-255397,131727260,502,31994623,25379,5.15,0.00017900000000000001,0.254,1,1,100000,428795,16013,-16013,444808,1,1248,162,0.086,3e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.748,True
measured2_delta_04,100000,150000,100,100,167,0,0,100000,251,5.184,5,5,1860,153304588,379206,31655109,121649479,1102,49092,499091,3.278,0.00011300000000000001,1.416,1,1,455002,248124083,425703,19473728,228650355,100000,387726,1741874,4.917,0.000171,2.13,2,2,250200,163381333,340550,-340550,163721883,502,31994643,25392,5.5489999999999995,0.000192,0.265,1,1,100000,435886,18297,-18297,454183,1,1248,162,0.104,4e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,13.864,True
measured2_delta_05,100000,150000,100,100,166,0,0,100000,251,5.513,5,5,1860,169275018,438069,31596301,137678717,1102,49091,501092,2.964,0.000103,2.104,1,1,455002,280033575,510858,67206805,212826770,100000,387713,1742658,9.158,0.000318,3.186,2,2,250200,195290823,425703,-425703,195716526,502,31994647,25396,6.057,0.00021,0.212,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.068,2e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.316,True
measured2_delta_warmup,100000,150000,100,100,165,0,0,100000,251,8.233,5,5,1860,93403879,129763,35269114,58134765,1102,103024,477680,3.8299999999999996,0.000133,1.601,1,1,455002,120486168,85095,15510793,104975375,100000,387726,1677954,3.363,0.000117,2.769,2,2,250200,35743424,0,541738,35201686,502,31994579,27015,5.146000000000001,0.00017900000000000001,0.241,1,1,100000,407701,9159,-9159,416860,1,1248,82,0.063,2e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,16.23,True
measured2_noop_01,100000,150000,100,,0,0,0,100000,0,0.56,5,5,0,0,0,0,0,0,0,0,0.002,0.0,1.611,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,3.785,0.000131,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.097,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_noop_02,100000,150000,100,,0,0,0,100000,0,15.617999999999999,5,5,0,0,0,0,0,0,0,0,0.002,0.0,1.139,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,3.319,0.000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.072,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_noop_03,100000,150000,100,,0,0,0,100000,0,0.614,5,5,0,0,0,0,0,0,0,0,0.005,0.0,1.514,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,3.794,0.000132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.097,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_noop_04,100000,150000,100,,0,0,0,100000,0,0.543,5,5,0,0,0,0,0,0,0,0,0.005,0.0,1.767,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,3.68,0.000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.07,2e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_noop_05,100000,150000,100,,0,0,0,100000,0,0.539,5,5,0,0,0,0,0,0,0,0,0.004,0.0,2.229,1,1,455002,280033575,510858,-510858,280544433,100000,387713,1742658,5.765,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,1,1,100000,442965,20582,-20582,463547,1,1248,162,0.09,3e-06,subscription_features:NO_DATA;billing_features:NO_DATA;care_features:NO_DATA;customer_features:NO_DATA;customer_tags:NO_DATA,,True
measured2_payment,100000,150000,100,12,12,0,0,100000,12,4.931,5,5,150,118607397,294344,13691499,104915898,96,41458,68205,3.255,0.000113,1.345,1,1,455002,284813610,523393,-523393,285337003,100000,387704,1743062,3.16,0.00011,1.237,1,1,111211,34763820,0,0,34763820,24,4792570,175184,1.211,4.2e-05,0.233,1,1,100000,448320,22014,-22014,470334,1,1248,162,0.09,3e-06,subscription_features:NO_DATA;billing_features:INCREMENTAL;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,14.168,True
measured2_terminate,100000,150000,100,100,246,0,0,100000,151,4.811,5,5,1660,156838278,639216,15573056,141265222,1102,60292,540748,2.835,9.8e-05,1.542,1,1,455002,354651976,675218,-143118,354795094,100000,388063,1788184,4.645,0.000161,1.709,1,1,150105,148527287,312859,-312859,148840146,307,16039055,15827,3.599,0.000125,0.274,1,1,100000,514753,45539,-45539,560292,1,1248,257,0.109,4e-06,subscription_features:INCREMENTAL;billing_features:NO_DATA;care_features:NO_DATA;customer_features:INCREMENTAL;customer_tags:INCREMENTAL,13.714,True
